open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-10-09 00:45:00+00:00,122963.93000000,123112.31000000,122941.18000000,123112.31000000,12.50822000,2025-10-09 00:49:59.999000+00:00,1539158.20294860,8021,9.56465000,1176927.92516740,0
2025-10-09 00:50:00+00:00,123112.30000000,123112.31000000,122938.81000000,122950.69000000,107.91374000,2025-10-09 00:54:59.999000+00:00,13274894.12789070,9255,24.00996000,2953160.71187620,0
2025-10-09 00:55:00+00:00,122950.69000000,122983.02000000,122839.15000000,122839.15000000,28.03274000,2025-10-09 00:59:59.999000+00:00,3445751.30360290,4167,4.88541000,600715.71097690,0
2025-10-09 01:00:00+00:00,122839.16000000,122857.32000000,122612.06000000,122673.41000000,86.78860000,2025-10-09 01:04:59.999000+00:00,10652052.48668000,16562,31.45916000,3862061.67841240,0
2025-10-09 01:05:00+00:00,122673.41000000,122734.00000000,122583.00000000,122612.95000000,42.93671000,2025-10-09 01:09:59.999000+00:00,5266221.40057380,12669,27.83625000,3414257.07740610,0
2025-10-09 01:10:00+00:00,122612.95000000,122720.41000000,122587.91000000,122625.73000000,19.69575000,2025-10-09 01:14:59.999000+00:00,2415962.37670000,8297,10.16017000,1246249.88201140,0
2025-10-09 01:15:00+00:00,122625.72000000,122769.96000000,122515.44000000,122589.22000000,101.21032000,2025-10-09 01:19:59.999000+00:00,12410094.00494250,20435,61.58555000,7551692.05353020,0
2025-10-09 01:20:00+00:00,122589.22000000,122686.98000000,122589.22000000,122644.00000000,34.07366000,2025-10-09 01:24:59.999000+00:00,4178685.06380820,12082,16.86623000,2068354.31893550,0
2025-10-09 01:25:00+00:00,122643.99000000,122680.50000000,122525.48000000,122525.48000000,25.83745000,2025-10-09 01:29:59.999000+00:00,3167615.74290740,9899,9.40542000,1153147.21867180,0
2025-10-09 01:30:00+00:00,122525.48000000,122525.49000000,122396.25000000,122449.27000000,69.96594000,2025-10-09 01:34:59.999000+00:00,8567677.26935020,15634,16.32368000,1998735.09951700,0
2025-10-09 01:35:00+00:00,122449.27000000,122476.32000000,122361.32000000,122386.76000000,25.47223000,2025-10-09 01:39:59.999000+00:00,3118271.57574900,9471,9.26746000,1134436.34492890,0
2025-10-09 01:40:00+00:00,122386.76000000,122459.95000000,122339.41000000,122339.42000000,53.35549000,2025-10-09 01:44:59.999000+00:00,6529719.33955900,10116,7.87865000,964422.39561640,0
2025-10-09 01:45:00+00:00,122339.42000000,122452.00000000,122339.41000000,122399.67000000,59.43289000,2025-10-09 01:49:59.999000+00:00,7273189.64444400,10014,46.11355000,5642759.53439210,0
2025-10-09 01:50:00+00:00,122399.67000000,122465.98000000,122373.14000000,122426.55000000,94.19277000,2025-10-09 01:54:59.999000+00:00,11531549.56254150,6325,43.45128000,5319892.96906050,0
2025-10-09 01:55:00+00:00,122426.56000000,122562.40000000,122426.55000000,122548.23000000,36.60178000,2025-10-09 01:59:59.999000+00:00,4482564.96116970,5223,15.57880000,1908223.24535720,0
2025-10-09 02:00:00+00:00,122548.23000000,122548.23000000,122271.55000000,122293.84000000,42.00930000,2025-10-09 02:04:59.999000+00:00,5140989.01157220,14843,13.94613000,1706435.27000970,0
2025-10-09 02:05:00+00:00,122293.84000000,122293.85000000,122053.75000000,122223.09000000,124.50635000,2025-10-09 02:09:59.999000+00:00,15207450.63424600,23802,45.74201000,5587108.67396260,0
2025-10-09 02:10:00+00:00,122223.09000000,122297.31000000,122176.97000000,122267.01000000,35.33173000,2025-10-09 02:14:59.999000+00:00,4319260.97485200,11325,19.93592000,2437031.18419330,0
2025-10-09 02:15:00+00:00,122267.02000000,122319.24000000,122000.00000000,122009.39000000,56.34232000,2025-10-09 02:19:59.999000+00:00,6880025.62278880,16353,17.87281000,2183501.37304370,0
2025-10-09 02:20:00+00:00,122009.39000000,122100.72000000,122009.39000000,122035.02000000,31.80934000,2025-10-09 02:24:59.999000+00:00,3882508.83576030,10173,13.22510000,1614223.72990320,0
2025-10-09 02:25:00+00:00,122035.03000000,122089.34000000,121954.74000000,121994.82000000,50.67823000,2025-10-09 02:29:59.999000+00:00,6183377.29982020,12474,11.29561000,1378262.84589960,0
2025-10-09 02:30:00+00:00,121994.82000000,122116.37000000,121994.82000000,122014.61000000,64.45383000,2025-10-09 02:34:59.999000+00:00,7867645.36826170,15095,36.21610000,4420724.07080120,0
